110	110	W AH N T I AH N;
peritracheal	peritracheal	P EH R I T R EI K I AH L;
peritracheal	peritracheal	P EH R IH T R EI K I AH L;
peritransplant	peritransplant	P EH R I T R AE N S P L AE N T;
peritransplant	peritransplant	P EH R I T R AE N Z P L AE N T;
peritrapezial	peritrapezial	P EH R I T R AE P I Z I AH L;
peritrichal	peritrichal	P EH R I T R AI K AH L;
peritrichida	peritrichida	P ER IH T R IH K I D AH;
peritrichous	peritrichous	P ER IH T R IH K AH S;
peritrigeminal	peritrigeminal	P ER IH T R IH JH EH M AH N AH L;
peritrigeminalis	peritrigeminalis	P ER IH T R IH JH EH M AH N AE L AH S;
peritrigonal	peritrigonal	P ER IH T R IH G O N AH L;
peritrochanteric	peritrochanteric	P ER IH T R O K AE N T EH R IH K;
peritubal	peritubal	P AE R I T J U B AH L;
peritubal	peritubal	P EH R I T U B AH L;
peritubular	peritubular	P AE R I T U B J U L AH R;
peritubular	peritubular	P EH R I T U B J U L AH R;
peritumor	peritumor	P AE R I T U M ER;
peritumor	peritumor	P EH R I T U M ER;
peritumoral	peritumoral	P EH R I T U M AH R AH L;
peritumoral	peritumoral	P EH R IH T U M ER AH L;
perityphlic	perityphlic	P EH R IH T AI F L AH K;
perityphlitis	perityphlitis	P EH R I T AI F L AI T IH S;
periumbical	periumbical	P EH R I AH M B IH K AH L;
periumbilic	periumbilic	P EH R I AH M B IH L IH K;
periumbilic	periumbilic	P EH R IH AH M B IH L AH K;
periumbilic	periumbilic	P IH R I AH M B IH L IH K;
periumbilical	periumbilical	P EH R I AH M B IH L IH K AH L;
periumbilical	periumbilical	P I R I AH M B IH L IH K AH L;
periumbilical	periumbilical	P IH R I AH M B IH L IH K AH L;
periumbilically	periumbilically	P EH R I AH M B IH L IH K AH L I;
periumbilically	periumbilically	P EH R I AH M B IH L IH K L I;
periungual	periungual	P EH R I AH NG G J U W AH L;
periungual	periungual	P EH R IH AH NG W AH L;
periureteral	periureteral	P EH R I J U R EH T ER AH L;
periureteral	periureteral	P EH R I J U R I T UH R AH L;
periureteric	periureteric	P EH R I J U R EH T EH R IH K;
periureteric	periureteric	P EH R I J U R I T EH R IH K;
periureteric	periureteric	P EH R I J U R I T UH R IH K;
periureteritis	periureteritis	P EH R I J U R EH T AH R AI T IH S;
periureteritis	periureteritis	P EH R I J U R I T AH R AI T IH S;
periureteritis	periureteritis	P EH R I J U R I T UH R AI T IH S;
periurethral	periurethral	P EH R I J U R I TH R AH L;
periurethrally	periurethrally	P EH R I J U R I TH R AH L I;
periurethritis	periurethritis	P EH R I J U R I TH R AI T AH S;
periurethritis	periurethritis	P EH R I J U R I TH R AI T IH S;
periurethritis	periurethritis	P EH R I J U R I TH R IH T IH S;
periurethritis	periurethritis	P EH R IH J U R IH TH R AI D AH S;
periurethritis	periurethritis	P EH R IH J U R IH TH R AI T IH S;
periurethritis	periurethritis	P EH R IH J U R IH TH R IH T IH S;
periuterine	periuterine	P EH R I J U T AH R IH N;
periuterine	periuterine	P EH R I J U T EH R AH N;
periuterine	periuterine	P EH R IH J U D ER AH N;
periuvular	periuvular	P EH R I J U V J AH L AH R;
periuvular	periuvular	P EH R IH J U V J AH L ER;
perivaginal	perivaginal	P EH R I V AE JH IH N AH L;
perivaginal	perivaginal	P EH R IH V AE JH AH N AH L;
perivaginally	perivaginally	P EH R I V AE JH AH N AH L I;
perivaginally	perivaginally	P EH R IH V AE JH IH N AH L I;
perivaginitis	perivaginitis	P EH R I V AE JH IH N AI T IH S;
perivaginitis	perivaginitis	P EH R IH V AE JH AH N AI D AH S;
perivalvular	perivalvular	P EH R IH V AE L V J U L AH R;
perivasal	perivasal	P EH R I V EI Z AH L;
perivasal	perivasal	P EH R IH V AE S AH L;
perivascular	perivascular	P EH R IH V AE S K J AH L ER;
perivascular	perivascular	P EH R IH V AE S K J U L AH R;
perivascularis	perivascularis	P EH R I V AE S K J AH L ER IH S;
perivascularis	perivascularis	P EH R IH V AE S K J AH L ER IH S;
perivascularis	perivascularis	P EH R IH V AE S K J U L AE R IH S;
perivascularly	perivascularly	P EH R I V AE S K J AH L ER L I;
perivascularly	perivascularly	P EH R IH V AE S K J AH L ER L I;
perivascularly	perivascularly	P EH R IH V AE S K J U L AH R L I;
perivasculitis	perivasculitis	P EH R I V AE S K J U L AI T IH S;
perivasculitis	perivasculitis	P EH R IH V AE S K J AH L AI T IH S;
perivasculitis	perivasculitis	P EH R IH V AE S K J U L AI T AH S;
perivenous	perivenous	P EH R I V I N AH S;
perivenous	perivenous	P EH R IH V EH N AH S;
periventral	periventral	P EH R I V EH N T R AH L;
periventrical	periventrical	P EH R I V EH N T R AH K AH L;
periventrical	periventrical	P EH R IH V EH N T R IH K AH L;
periventricular	periventricular	P EH R I V EH N T R IH K J AH L ER;
periventricular	periventricular	P EH R I V EH N T R IH K J U L AA R;
periventricular	periventricular	P EH R I V EH N T R IH K J U L AH R;
periventricular	periventricular	P EH R IH V EH N T R IH K J AH L ER;
periventricular	periventricular	P EH R IH V EH N T R IH K J U L AH R;
periventricularis	periventricularis	P EH R I V EH N T R IH K J AH L ER IH S;
periventricularis	periventricularis	P EH R I V EH N T R IH K J U L AA R IH S;
periventricularis	periventricularis	P EH R I V EH N T R IH K J U L AE R IH S;
periventricularly	periventricularly	P EH R I V EH N T R IH K J AH L AH R L I;
periventricularly	periventricularly	P EH R I V EH N T R IH K J U L AE R L I;
periventricularly	periventricularly	P EH R I V EH N T R IH K J U L ER L I;
perivenular	perivenular	P EH R I V EH N J AH L AH R;
perivenular	perivenular	P EH R I V EH N J AH L ER;
perivenular	perivenular	P EH R IH V EH N J U L AH R;
perivertebral	perivertebral	P EH R I V ER T I B R AH L;
perivertebral	perivertebral	P EH R IH V ER T AH B R AH L;
perivesical	perivesical	P EH R I V EH S IH K AH L;
perivesically	perivesically	P EH R I V EH S IH K AH L I;
perivesically	perivesically	P EH R IH V EH S IH K L I;
perivesicle	perivesicle	P EH R I V EH S IH K AH L;
perivesicle	perivesicle	P EH R IH V EH S IH K AH L;
perivesicles	perivesicles	P EH R I V EH S IH K AH L Z;
perivesicular	perivesicular	P EH R I V EH S I K J U L AH R;
perivesicular	perivesicular	P EH R I V EH S IH K J U L AH R;
perivesicular	perivesicular	P EH R IH V EH S IH K J AH L ER;
perivillous	perivillous	P EH R I V IH L AH S;
perivillous	perivillous	P EH R IH V IH L AH S;
perivisceral	perivisceral	P EH R I V IH S ER AH L;
perivisceral	perivisceral	P EH R IH V IH S AH R AH L;
perivisceritis	perivisceritis	P EH R I V IH S AH R AI T IH S;
perivisceritis	perivisceritis	P EH R IH V IH S ER AI T IH S;
perivitelline	perivitelline	P EH R I V AI T EH L I N;
perivitelline	perivitelline	P EH R IH V IH T EH L I N;
perivulvar	perivulvar	P EH R I V AH L V AA R;
perivulvar	perivulvar	P EH R IH V AH L V AA R;
periwound	periwound	P EH R I W U N D;
perizonal	perizonal	P EH R I Z O N AH L;
perizonal	perizonal	P EH R IH Z O N AH L;
perizonalium	perizonalium	P EH R I Z O N EI L I AH M;
perizonalium	perizonalium	P EH R IH Z O N AH L I AH M;
permacatheter	permacatheter	P ER M AH K AE TH AH D ER;
permacatheter	permacatheter	P ER M AH K AE TH AH T ER;
permacatheter	permacatheter	P ER R M AE K AH TH EH T ER;
permacaths	permacaths	P ER M AH K AE TH S;
permacaths	permacaths	P ER M AH K EH TH S;
permacaths	permacaths	P ER R M AH K AE TH S;
permcath	permcath	P ER M K AE TH;
petechiae	petechiae	P AX T EI K I AI;
petechiae	petechiae	P AX T I K I AI;
petechiae	petechiae	P AX T I K I AX;
petechiae	petechiae	P AX T I K I EI;
petechial	petechial	P AX T EH K I AX L;
petechial	petechial	P AX T EI K I AX L;
petechial	petechial	P AX T I K I AX L;
petechial	petechial	P EH T EH CH I AX L;
phaeochromocytoma	phaeochromocytoma	F I O K R O M AH S AI T O M AH;
phaeochromocytoma	phaeochromocytoma	F I O K R O M O S AI T O M AH;
pharynges	pharynges	F AE R AH N JH IH Z;
pharynges	pharynges	F AE R IH N JH I Z;
pharynges	pharynges	F AH R IH N JH I Z;
pharyngitic	pharyngitic	F AE R AH N JH IH D AH K;
pharyngitic	pharyngitic	F AE R AH N JH IH T IH K;
pharyngitic	pharyngitic	F AE R IH N JH IH D AH K;
pharyngitic	pharyngitic	F AE R IH N JH IH T IH K;
pharyngitic	pharyngitic	F EH R AH N JH AI T AH K;
pharyngitis	pharyngitis	F AE R AH N JH AI T IH S;
pharyngitis	pharyngitis	F AE R IH N JH AI T AH S;
pharyngitis	pharyngitis	F EH R AH N JH AI D AH S;
phenylketonuria	phenylketonuria	F EH N AH L K I T O N J UH R I AH;
phenylketonuria	phenylketonuria	F EH N IH L K I D AH N ER I AH;
phenylketonuria	phenylketonuria	F EH N IH L K I T O N J UH R AH;
phenylketonuria	phenylketonuria	F I N IH L K I T O N J UH R I AH;
phenylketonuria	phenylketonuria	F IH N AH L K I T AH N ER I AH;
phenylketonuric	phenylketonuric	F EH N AH L K I T AH N ER IH K;
phenylketonuric	phenylketonuric	F I N IH L K I T O N J UH R IH K;
phytonutrients	phytonutrients	F AI D O N U T R I AH N T S;
phytonutrients	phytonutrients	F AI T O N J U T R I AH N T S;
phytonutrients	phytonutrients	F AI T O N UH T R I AH N T S;
pigmenturia	pigmenturia	P IH G M AH N T UH R I AH;
pigmenturia	pigmenturia	P IH G M EH N CH ER I AH;
pigmenturia	pigmenturia	P IH G M EH N CH ER R I AH;
pigmenturia	pigmenturia	P IH G M EH N T J UH R I AH;
pigmenturia	pigmenturia	P IH G M EH N T UH R I AH;
plantarflexory	plantarflexory	P L AE N T AA R F L EH K S AO R I;
plantarflexory	plantarflexory	P L AE N T AA R F L EH K S ER I;
plantarflexory	plantarflexory	P L AE N T ER F L EH K S ER I;
plastica	plastica	P L AE S T AH K AH;
plastica	plastica	P L AE S T IH K AH;
plasticized	plasticized	P L AE S T AH S AI Z D;
plenum	plenum	P L EH N AH M;
plenum	plenum	P L EI N AH M;
plenum's	plenum_s	P L EH N AH M Z;
plenum's	plenum_s	P L EI N AH M Z;
plenums	plenums	P L EH N AH M Z;
plenums	plenums	P L EI N AH M Z;
politzerization	politzererization	P O L IH T Z ER IH Z EI SH AH N;
politzerize	politzerize	P AH L IH T S ER AI Z;
politzerize	politzerize	P AH L IH T Z ER AI Z;
politzerize	politzerize	P O L IH T S ER AI Z;
politzerize	politzerize	P O L IH T Z ER AI Z;
polyovular	polyovular	P AA L I AA V J U L AH R;
polyovulation	polyovulation	P AA L I AA V J AH L EI SH AH N;
polyovulation	polyovulation	P AA L I O V J U L EI SH AH N;
polyovulatory	polyovulatory	P AA L I AA V J AH L AH T AO R I;
polyovulatory	polyovulatory	P AA L I O V J U L AH T AO R I;
polyps	polyps	P AA L AH P S;
polyps	polyps	P AA L IH P S;
polyps	polyps	P AO L IH P S;
polyradiculopathies	polyradiculopathies	P AA L I R AE D IH K J U L O P AH TH I Z;
polyradiculopathies	polyradiculopathies	P AA L I R AH D IH K J U L AH P AE TH I Z;
polyradiculopathies	polyradiculopathies	P AA L IH R AH D IH K J AH L AA P AE TH I Z;
polysomnogram	polysomnogram	P AA L I S AA M N AH G R AE M;
polysomnogram	polysomnogram	P AA L I S AA M N O G R AE M;
polysomnograms	polysomnograms	P AA L I S AA M N AH G R AE M Z;
polysomnograph	polysomnograph	P AA L I S AA M N AH G R AE F;
polysomnographic	polysomnographic	P AA L I S AA M N AH G R AE F IH K;
polysomnography	polysomnography	P AA L I S AA M N AA G R AH F I;
polysomnography	polysomnography	P AA L I S AA M N AH G R AE F I;
polysomnography	polysomnography	P AA L I S AA M N AH G R AH F I;
post-ov	post_ov	P O S T AA V;
postovulatory	postovulatory	P O S T AA V J AH L AH T AO R I;
postovulatory	postovulatory	P O S T O V J U L AH T AO R I;
predislocation syndrome	predislocation_syndrome	P R I D IH S L AH K EI SH AH N S IH N D R AH M;
predislocation syndrome	predislocation_syndrome	P R I D IH S L O K EI SH AH N S IH N D R O M;
preovulatory	preovulatory	P R I AA V J AH L AH T AO R I;
preovulatory	preovulatory	P R I AA V J U L AH T AO R I;
preparotid	preparotid	P R I P EH R AA T IH D;
preparotid	preparotid	P R I P EH R AH T AH D;
preparotid	preparotid	P R I P ER AA T IH D;
processus vaginales	processus_vaginales	P R AA S EH S AH S V AH JH AI N AH L Z;
processus vaginales	processus_vaginales	P R O S EH S AH S V AE JH AH N AE L I Z;
processus vaginales	processus_vaginales	P R O S EH S AH S V AE JH IH N AH L Z;
processus vaginalis	processus_vaginalis	P R AA S EH S AH S V AE JH AH N AH L IH S;
processus vaginalis	processus_vaginalis	P R O S EH S AH S V AE JH AH N AE L IH S;
processus vaginalis	processus_vaginalis	P R O S EH S AH S V AE JH AI N AH L AH S;
prostate	prostate	P R AA S T EI T;
prostate	prostate	P R O S T EI T;
prostate-specific	prostate_specific	P R AA S T AE T S P AH S IH F IH K;
prostate-specific	prostate_specific	P R AA S T EI T S P AH S IH F IH K;
prostate-specific	prostate_specific	P R O S T AE T S P AH S IH F IH K;
prostatectomies	prostatectomies	P R AA S T EI T EH K T AH M I Z;
prostatectomy	prostatectomy	P R AA S T AH T EH K T AH M I;
prostatectomy	prostatectomy	P R AA S T EI T EH K T AH M I;
prostatectomy	prostatectomy	P R O S T AE T EH K T AH M I;
prostates	prostates	P R AA S T EI T S;
prostates	prostates	P R O S T EI T S;
prostatic	prostatic	P R AA S T AE T IH K;
prostatic	prostatic	P R O S T AE T AH K;
prostatic	prostatic	P R O S T AE T IH K;
pseudohypha	pseudohypha	S U D O H AI F AH;
pseudohypha	pseudohypha	S U D O H AI F AX;
pseudohyphae	pseudohyphae	S U D O H AI F AX;
pseudohyphae	pseudohyphae	S U D O H AI F EI;
pseudohyphae	pseudohyphae	S U D O H AI F I;
pseudohyphal	pseudohyphal	S U D O H AI F AH L;
pseudohyphal	pseudohyphal	S U D O H AI F AX L;
psoas	psoas	S O AE Z;
psoas minor	psoas_minor	S O AE Z M AI N AO R;
psoas minor	psoas_minor	S O AH Z M AI N ER;
psoatic	psoatic	S O AE D AH K;
psoatic	psoatic	S O AE D IH K;
psoatic	psoatic	S O AE T IH K;
psoriasis	psoriasis	S AO R AI AH S AH S;
psoriasis	psoriasis	S AO R AI AH S IH S;
psoriasis	psoriasis	S ER AI AH S AH S;
pubocervicovaginal	pubocervicovaginal	P J U B O S ER R V AH K O V AH JH AI N AH L;
pubocervicovaginal	pubocervicovaginal	P J U B O S ER R V IH K O V AE JH IH N AH L;
pubocervicovaginal	pubocervicovaginal	P J U B O S ER V AH K O V AE JH IH N AH L;
pubovaginal	pubovaginal	P J U B O V AE JH AH N AH L;
pubovaginal	pubovaginal	P J U B O V AE JH IH N AH L;
pubovaginal	pubovaginal	P J U B O V AH JH AI N AH L;
pubovaginalis	pubovaginalis	P J U B O V AE JH AH N AE L AH S;
pubovaginalis	pubovaginalis	P J U B O V AE JH IH N AE L IH S;
pubovaginalis	pubovaginalis	P J U B O V AH JH AI N AH L AH S;
pudendal	pudendal	P J U D EH N D AH L;
pullularia	pullularia	P AH L J AH L EH R I AH;
pullularia	pullularia	P AH L J U L AA R I AH;
pullularia	pullularia	P UH L J AH L AA R I AH;
pullularia	pullularia	P UH L J AH L EH R I AH;
pullularia	pullularia	P UH L J U L AE R I AH;
pulsate	pulsate	P AH L S AE T;
pulsate	pulsate	P AH L S EI T;
pulsated	pulsated	P AH L S EI T IH D;
pulsates	pulsates	P AH L S EI T S;
pulsatile	pulsatile	P AH L S AH T AI L;
pulsatilely	pulsatilely	P AH L S AH T AI L L I;
pulsatiles	pulsatiles	P AH L S AH T AI L Z;
pulsatility	pulsatility	P AH L S AH T IH L AH T I;
pulsatility	pulsatility	P AH L S AH T IH L IH T I;
pulsating	pulsating	P AH L S EI T AH NG;
pulsating	pulsating	P AH L S EI T IH NG;
pulsation	pulsation	P AH L S EI SH AH N;
pulsational	pulsational	P AH L S EI SH AH N AH L;
pulsations	pulsations	P AH L S EI SH AH N Z;
pumpogram	pumpogram	P AH M P O G R AE M;
purpura	purpura	P ER P ER AH;
purpura	purpura	P ER P J UH R AH;
purpura	purpura	P ER R P UH R AH;
purpuras	purpuras	P ER P ER AH Z;
purpuras	purpuras	P ER P UH R AH S;
purpuras	purpuras	P ER P UH R AH Z;
purpurea	purpurea	P ER P ER I AH;
purpurea	purpurea	P ER P ER I;
purpurea	purpurea	P ER P J UH R AH;
purpureum	purpureum	P ER P ER I AH M;
purpureum	purpureum	P ER P UH R I AH M;
purpureum	purpureum	P ER R P UH R I AH M;
purpureus	purpureus	P ER P J UH R EI AH S;
purpureus	purpureus	P ER P UH R I AH S;
purpureus	purpureus	P ER R P UH R I AH S;
purpuric	purpuric	P AH R P J UH R IH K;
purpuric	purpuric	P ER P J UH R IH K;
purpuric	purpuric	P ER R P J UH R IH K;
purpuric	purpuric	P ER R P UH R IH K;
purpurin	purpurin	P ER P J UH R AH N;
purpurin	purpurin	P ER P J UH R IH N;
purpurin	purpurin	P ER R P J UH R IH N;
pyelectases	pyelectases	P AI EH L EH K T AH S I Z;
pyelectases	pyelectases	P AI EH L EH K T AH S IH Z;
pyelectases	pyelectases	P AI IH L EH K T AH S I Z;
pyelectasis	pyelectasis	P AI AH L EH K T AH S IH S;
pyelectasis	pyelectasis	P AI EH L EH K T AH S IH S;
pyelectasis	pyelectasis	P AI IH L EH K T AH S IH S;
pyelitic	pyelitic	P AI EH L IH D AH K;
pyelitic	pyelitic	P AI EH L IH T AH K;
pyelitic	pyelitic	P AI EH L IH T IH K;
pyelitis	pyelitis	P AI EH L IH T IH S;
pyelitis	pyelitis	P AI IH L AI T AH S;
pyelitis	pyelitis	P AI L AI T IH S;
pyelo	pyelo	P AI EH L O;
pyelocaliceal	pyelocaliceal	P AI EH L AH K AE L AI K AH L;
pyelocaliceal	pyelocaliceal	P AI EH L AH K AE L AI S AH L;
pyelocaliceal	pyelocaliceal	P AI EH L AH K AE L I S I AH L;
pyelocaliectasis	pyelocaliectasis	P AI EH L AH K AA L I EH K T AH S IH S;
pyelocaliectasis	pyelocaliectasis	P AI EH L AH K AE L I EH K T AH S IH S;
pyelocaliectasis	pyelocaliectasis	P AI EH L O K AH L I EH K T AH S IH S;
pyelocaliectatic	pyelocaliectatic	P AI EH L AH K AA L I EH K T AE T IH K;
pyelocaliectatic	pyelocaliectatic	P AI EH L AH K AE L I EH K T AE T IH K;
pyelocaliectatic	pyelocaliectatic	P AI EH L O K AH L I EH K T AE T IH K;
pyelocalyceal	pyelocalyceal	P AI EH L AA K AH L IH S AH L;
pyelocalyceal	pyelocalyceal	P AI EH L AA K AH L IH S I AH L;
pyelocalyceal	pyelocalyceal	P AI EH L AH K AE L IH S AH L;
pyelocystitis	pyelocystitis	P AI EH L AH S IH S T AI T AH S;
pyelocystitis	pyelocystitis	P AI EH L O S IH S T AI T AH S;
pyelocystitis	pyelocystitis	P AI EH L O S IH S T AI T IH S;
pyelofluoroscopy	pyelofluoroscopy	P AI EH L AA F L AO R O S K AA P I;
pyelofluoroscopy	pyelofluoroscopy	P AI EH L AA F L AO R AA S K AH P I;
pyelofluoroscopy	pyelofluoroscopy	P AI EH L AH F L AO R O S K AA P I;
pyelofluoroscopy	pyelofluoroscopy	P AI EH L AH F L AO R AA S K AH P I;
pyelofluoroscopy	pyelofluoroscopy	P AI EH L O F L AO R O S K AA P I;
pyelofluoroscopy	pyelofluoroscopy	P AI EH L O F L AO R AA S K AH P I;
pyelogenic	pyelogenic	P AI EH L AH JH EH N IH K;
pyelogenic	pyelogenic	P AI EH L O JH EH N AH K;
pyelogenic	pyelogenic	P AI EH L O JH EH N IH K;
pyelogram	pyelogram	P AI EH L AH G R AE M;
pyelograms	pyelograms	P AI EH L AH G R AE M Z;
pyelographic	pyelographic	P AI EH L AH G R AE F IH K;
pyelography	pyelography	P AI EH L AA G R AH F I;
pyelography	pyelography	P AI EH L AH G R AE F I;
pyelography	pyelography	P AI EH L AH G R AH F I;
pyelolithotomy	pyelolithotomy	P AI EH L AA L IH TH AA T AH M I;
pyelolithotomy	pyelolithotomy	P AI EH L AH L IH TH AA T AH M I;
pyelolithotomy	pyelolithotomy	P AI EH L O L IH TH AA T AH M I;
pyelolymphatic	pyelolymphatic	P AI EH L AH L AH M F AE T IH K;
pyelolymphatic	pyelolymphatic	P AI EH L AH L IH M F AE T AH K;
pyelolymphatic	pyelolymphatic	P AI EH L AH L IH M F AE T IH K;
pyelolymphoma	pyelolymphoma	P AI EH L AA L IH M F O M AH;
pyelolymphoma	pyelolymphoma	P AI EH L AH L IH M F O M AH;
pyelolymphoma	pyelolymphoma	P AI EH L O L IH M F O M AH;
pyelonephritic	pyelonephritic	P AI EH L O N EH F R AI D AH K;
pyelonephritic	pyelonephritic	P AI L O N EH F R AI T IH K;
pyelonephritis	pyelonephritis	P AI AH L O N EH F R AI D AH S;
pyelonephritis	pyelonephritis	P AI EH L O N EH F R AI T IH S;
pyelonephritis	pyelonephritis	P AI L O N EH F R AI D AH S;
pyelonephritis	pyelonephritis	P AI L O N EH F R AI T IH S;
pyelonephrosis	pyelonephrosis	P AI EH L O N EH F R AH S IH S;
pyelonephrosis	pyelonephrosis	P AI EH L O N EH F R O S AH S;
pyelonephrosis	pyelonephrosis	P AI L O N EH F R O S IH S;
pyeloplasties	pyeloplasties	P AI EH L AH P L AE S T I Z;
pyeloplasties	pyeloplasties	P AI EH L O P L AE S T I Z;
pyeloplasty	pyeloplasty	P AI EH L AH P L AE S T I;
pyeloplasty	pyeloplasty	P AI EH L O P L AE S T I;
pyeloplication	pyeloplication	P AI EH L AA P L AH K EI SH AH N;
pyeloplication	pyeloplication	P AI EH L AA P L IH K EI SH AH N;
pyeloplication	pyeloplication	P AI EH L AH P L AH K EI SH AH N;
pyeloscopy	pyeloscopy	P AI EH L AA S K AA P I;
pyeloscopy	pyeloscopy	P AI EH L AA S K AH P I;
pyeloscopy	pyeloscopy	P AI EH L O S K AA P I;
pyeloscopy	pyeloscopy	P AI EH L AA S K AH P I;
pyelosinus	pyelosinus	P AI EH L AH S AI N AH S;
pyelosinus	pyelosinus	P AI EH L O S AH N S;
pyelosinus	pyelosinus	P AI EH L O S IH N AH S;
pyelostomy	pyelostomy	P AI EH L AA S T AH M I;
pyelostomy	pyelostomy	P AI EH L AH S T AH M I;
pyelostomy	pyelostomy	P AI EH L O S T AH M I;
pyelotomy	pyelotomy	P AI EH L AA T AH M I;
pyelotubular	pyelotubular	P AI EH L AA T J U B J U L AH R;
pyelotubular	pyelotubular	P AI EH L AH T J U B J U L AH R;
pyelotubular	pyelotubular	P AI EH L O T J U B J U L AH R;
pyeloureteral	pyeloureteral	P AI EI L O J U R I T AH R AH L;
pyeloureterectasis	pyeloureterectasis	P AI EI L O J U R EH T AH R EH K T AH S IH S;
pyeloureterectasis	pyeloureterectasis	P AI EI L O J U R I T AH R EH K T AH S IH S;
pyeloureterectasis	pyeloureterectasis	P AI EI L O J U R I T EH R EH K T AH S IH S;
pyeloureterogram	pyeloureterogram	P AI EI L O J U R EH T AH R AH G R AE M;
pyeloureterogram	pyeloureterogram	P AI EI L O J U R EH T AH R O G R AE M;
pyeloureterogram	pyeloureterogram	P AI EI L O J U R I T AH R O G R AE M;
pyeloureterograms	pyeloureterograms	P AI EI L O J U R EH T AH R AH G R AE M Z;
pyeloureterograms	pyeloureterograms	P AI EI L O J U R EH T AH R O G R AE M Z;
pyeloureterograms	pyeloureterograms	P AI EI L O J U R I T AH R O G R AE M Z;
pyeloureterography	pyeloureterography	P AI EI L O J U R EH T AH R AH G R AE F I;
pyeloureterography	pyeloureterography	P AI EI L O J U R I T AH R AA G R AH F I;
pyeloureterography	pyeloureterography	P AI EI L O J U R I T AH R O G R AE F I;
pyeloureteroscopy	pyeloureteroscopy	P AI EI L O J U R I T AH R AA S K AH P I;
pyelovenous	pyelovenous	P AI EH L O V AH N AH S;
pyelovenous	pyelovenous	P AI EH L O V I N AH S;
pyelovenous	pyelovenous	P AI EI L O V I N AH S;
pylorectomy	pylorectomy	P AH L AO R EH K T AH M I;
pylorectomy	pylorectomy	P AI L AH R EH K T AH M I;
pylorectomy	pylorectomy	P AI L AO R EH K T AH M I;
pylori	pylori	P AH L AO R I;
pylori	pylori	P AI L AO R AI;
pylori	pylori	P AI L AO R I;
pylori-like	pylori_like	P AH L AO R I L AI K;
pylori-like	pylori_like	P AI L AO R AI L AI K;
pylori-like	pylori_like	P AI L AO R I L AI K;
pyloric	pyloric	P AH L AO R IH K;
pyloric	pyloric	P AI L AO R IH K;
qEEG	q_e_e_g	K J U I I JH I;
qSOFA score	q_s_o_f_a_score	K J U S O F AH S K AO R;
radiation	radiation	R EI D I EI SH AH N;
re-anchor	re_anchor	R I AE N K ER;
re-anchor	re_anchor	R I EI N K ER;
re-anchored	re_anchored	R I AE N K AH R D;
re-anchored	re_anchored	R I EI N K ER D;
re-ulceration	re_ulceration	R I AH L S ER EI SH AH N;
re-ulceration	re_ulceration	R I UH L S ER EI SH AH N;
rectovaginal	rectovaginal	R EH K T O V AE JH AH N AH L;
rectovaginal	rectovaginal	R EH K T O V AE JH IH N AH L;
rectovaginal	rectovaginal	R EH K T O V AH JH AI N AH L;
rectovaginalis	rectovaginalis	R EH K T O V AE JH AH N AH L IH S;
rectovaginalis	rectovaginalis	R EH K T O V AE JH IH N AE L IH S;
rectovaginalis	rectovaginalis	R EH K T O V AH JH AI N AH L AH S;
rectovaginally	rectovaginally	R EH K T O V AE JH AH N AH L I;
rectovaginally	rectovaginally	R EH K T O V AE JH IH N AH L I;
rectovaginally	rectovaginally	R EH K T O V AH JH AI N AH L I;
rectovaginouterine	rectovaginouterine	R EH K T O V AE JH IH N O J U D AH R AH N;
rectovaginouterine	rectovaginouterine	R EH K T O V AE JH IH N O J U T ER AH N;
rectovaginouterine	rectovaginouterine	R EH K T O V AH JH AI N O J U D ER AH N;
rectovulvar	rectovulvar	R EH K T O V AH L V AA R;
rectum	rectum	R EH K D AH M;
rectum	rectum	R EH K T AH M;
rectums	rectums	R EH K T AH M Z;
rectus	rectus	R EH K T AH S;
rectus abdominis	rectus_abdominis	R EH K T AH S AE B D AA M AH N IH S;
rectus abdominis	rectus_abdominis	R EH K T AH S AE B D AA M IH N I S;
rehab	rehab	R I H AE B;
rehab's	rehab_s	R I H AA B Z;
rehab's	rehab_s	R I H AE B Z;
rehab's	rehab_s	R IH H AE B Z;
reharden	reharden	R I H AA R D AH N;
rehardened	reharden	R I H AA R D N;
rehardened	rehardened	R I H AA R D AH N D;
rehardened	rehardened	R I H AA R D N D;
repigmentation	repigmentation	R I P IH G M EH N T EI SH AH N;
respirologist	respirologist	R EH S P AI R AA L AX JH IH S T;
respirologist	respirologist	R EH S P IH R AA L AX JH AH S T;
respirologist	respirologist	R EH S P IH R AA L AX JH AX S T;
retrovaginal	retrovaginal	R EH T R O V AE JH AH N AH L;
retrovaginal	retrovaginal	R EH T R O V AE JH IH N AH L;
retrovaginal	retrovaginal	R EH T R O V AH JH AI N AH L;
rotator cuff	rotator_cuff	R O T EI D ER K AH F;
rotator cuff	rotator_cuff	R O T EI T ER K AH F;
rubor	rubor	R U B AO R;
rubor	rubor	R U B ER;
sacrovaginal	sacrovaginal	S AE K R AH V AE JH AH N AH L;
sacrovaginal	sacrovaginal	S AE K R O V AE JH IH N AH L;
sacrovaginal	sacrovaginal	S AE K R O V AH JH AI N AH L;
salter	salter	S AO L T ER;
salter's	salter_s	S AA L T ER Z;
salter's	salter_s	S AO L T ER Z;
sarcoid	sarcoid	S AA R K OI D;
sarcoidal	sarcoidal	S AA R K OI D AH L;
sarcoidosis	sarcoidosis	S AA R K OI D O S AH S;
